,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
186,0.17336654663085938,0.062438561601015366,0.04480290412902832,0.03602976471639607,0.01,50,5,"{'learning_rate': 0.01, 'max_depth': 50, 'n_estimators': 5}",0.9824642362713428,0.9810710987996306,0.9889196675900277,0.9841516675536671,0.003419120380431546,30,0.9826869806094183,0.9833833371797831,0.9879990768520656,0.9846897982137556,0.00235721897550953
174,0.11458611488342285,0.02734428106144562,0.01694043477376302,0.002144381643870555,0.01,10,5,"{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 5}",0.9824642362713428,0.9810710987996306,0.9889196675900277,0.9841516675536671,0.003419120380431546,30,0.9826869806094183,0.9833833371797831,0.9879990768520656,0.9846897982137556,0.00235721897550953
165,0.2862127621968587,0.07423830213136212,0.06248784065246582,0.03809928802186665,0.01,4,40,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 40}",0.9783110290724504,0.9815327793167128,0.9792243767313019,0.979689395040155,0.0013557532174103277,33,0.9803785780240074,0.9787675975075005,0.9799215324255712,0.9796892359856931,0.0006778818889876742
164,0.11836465199788411,0.016260700284395312,0.018150806427001953,0.0021968768237898484,0.01,4,20,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 20}",0.9783110290724504,0.9778393351800554,0.9792243767313019,0.9784582469946025,0.000574943395545422,34,0.9803785780240074,0.9778444495730441,0.9799215324255712,0.979381520007541,0.0011027728113610392
124,0.34010155995686847,0.16784703897243725,0.02030523618062337,0.0009597396760348857,0.001,5,70,"{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 70}",0.9741578218735579,0.9778393351800554,0.9806094182825484,0.9775355251120539,0.002642599663738861,35,0.9785318559556787,0.9741518578352181,0.9829217632125549,0.9785351590011505,0.003580299639643052
161,0.40502723058064777,0.18611133877033378,0.018276532491048176,0.00287069046538304,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.9796954314720813,0.9806094182825484,0.9616805170821792,0.9739951222789363,0.00871573170905825,36,0.9810710987996306,0.9806138933764136,0.9644588045234249,0.9753812655664897,0.007725601406048408
163,0.12465556462605794,0.06510496363050754,0.016785621643066406,0.0013194314656865542,0.01,4,10,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 10}",0.9769266266728196,0.9653739612188366,0.9792243767313019,0.9738416548743194,0.006060599019631727,37,0.9783010156971376,0.9711516270482344,0.9799215324255712,0.9764580583903144,0.003810090008380367
119,0.4490155378977458,0.1646220888725791,0.022466421127319336,0.005320787705794088,0.001,4,100,"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 100}",0.9769266266728196,0.9653739612188366,0.9792243767313019,0.9738416548743194,0.006060599019631727,37,0.9783010156971376,0.9711516270482344,0.9799215324255712,0.9764580583903144,0.003810090008380367
160,0.4929519494374593,0.17573323626581513,0.025309085845947266,0.004148408274319701,0.01,3,70,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 70}",0.9796954314720813,0.9616805170821792,0.9607571560480148,0.9673777015340917,0.00871810384654774,39,0.9810710987996306,0.9644588045234249,0.9614585737364413,0.9689961590198323,0.00862567772054689
155,0.23202029863993326,0.007869474197933116,0.019947052001953125,0.0035508862947643267,0.01,2,100,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 100}",0.9607752653437933,0.9709141274238227,0.9681440443213296,0.9666111456963152,0.004278743173362363,40,0.9649122807017544,0.9729979229171475,0.9676898222940227,0.9685333419709748,0.0033544047254210766
158,0.23641077677408853,0.10385381530951154,0.04543606440226237,0.03908569195383275,0.01,3,20,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 20}",0.9570835256114444,0.9616805170821792,0.9607571560480148,0.9598403995805462,0.001985516634864645,41,0.9632963988919667,0.9644588045234249,0.9614585737364413,0.963071259050611,0.001235141599147073
159,0.30427805582682294,0.13481415893679022,0.05378540356953939,0.054180773313194985,0.01,3,40,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 40}",0.9570835256114444,0.9616805170821792,0.9607571560480148,0.9598403995805462,0.001985516634864645,41,0.9632963988919667,0.9644588045234249,0.9614585737364413,0.963071259050611,0.001235141599147073
118,0.2666027545928955,0.0877616013056007,0.020287752151489258,0.002514482747344124,0.001,4,70,"{'learning_rate': 0.001, 'max_depth': 4, 'n_estimators': 70}",0.9769266266728196,0.9653739612188366,0.9312096029547553,0.9578367302821372,0.019409945080711716,43,0.9783010156971376,0.9711516270482344,0.9420724671128549,0.9638417032860757,0.015667443360620214
168,0.1419400374094645,0.10288613090343578,0.016966819763183594,0.004312772522969738,0.01,5,5,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 5}",0.9367789570835257,0.9321329639889196,0.974145891043398,0.9476859373719476,0.018805906415809034,44,0.9279778393351801,0.9303023309485345,0.9769213016385876,0.9450671573074341,0.0225442631079041
113,0.3320779005686442,0.13862822034323857,0.018280188242594402,0.0026139522098048524,0.001,3,100,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 100}",0.9570835256114444,0.935826408125577,0.9242843951985226,0.9390647763118479,0.013584574839215055,45,0.9632963988919667,0.931225478882991,0.9369951534733441,0.9438390104161005,0.013958623641443959
