,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
157,0.08643762270609538,0.00954003870435787,0.013964335123697916,0.004955217755345814,0.01,3,10,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10}",0.9570835256114444,0.935826408125577,0.9242843951985226,0.9390647763118479,0.013584574839215055,45,0.9632963988919667,0.931225478882991,0.9369951534733441,0.9438390104161005,0.013958623641443959
112,0.18384218215942383,0.0023526371342147204,0.02194062868754069,0.01000604746636699,0.001,3,70,"{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 70}",0.9381633594831564,0.935826408125577,0.9242843951985226,0.9327580542690853,0.006067262366999975,47,0.9300554016620498,0.931225478882991,0.9369951534733441,0.9327586780061283,0.003033486823660428
156,0.04521306355794271,0.0049748576123772575,0.01828304926554362,0.011784288252475588,0.01,3,5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 5}",0.9381633594831564,0.935826408125577,0.9242843951985226,0.9327580542690853,0.006067262366999975,47,0.9300554016620498,0.931225478882991,0.9369951534733441,0.9327586780061283,0.003033486823660428
154,0.13231356938680014,0.024243150212217277,0.012299537658691406,0.0004703594739207546,0.01,2,70,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 70}",0.9335486848177204,0.9506001846722069,0.9127423822714681,0.9322970839204651,0.015480701518511216,49,0.9344413665743305,0.9531502423263328,0.9224555735056543,0.9366823941354392,0.012630843912159892
162,0.05153059959411621,0.012333642869312043,0.014292160669962565,0.007521245608783315,0.01,4,5,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 5}",0.9367789570835257,0.9321329639889196,0.9270544783010157,0.9319887997911537,0.003971310395390885,50,0.9279778393351801,0.9303023309485345,0.9397645972767136,0.9326815891868093,0.005097552878023915
149,0.18217841784159342,0.010752485729477356,0.020951588948567707,0.009882432817838445,0.01,1,100,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 100}",0.9155514536225197,0.9187442289935365,0.9233610341643582,0.9192189055934715,0.0032058670658404024,51,0.9162049861495845,0.9136856681283175,0.9284560350796215,0.9194488964525078,0.006451519227236447
153,0.0827781359354655,0.0037303838663958785,0.012299140294392904,0.0012438577690820215,0.01,2,40,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 40}",0.928011075219197,0.9182825484764543,0.9030470914127424,0.9164469050361314,0.010273827978646602,52,0.9298245614035088,0.9143780290791599,0.9185321947842142,0.9209115950889609,0.0065266121670925345
152,0.0781240463256836,0.019103639645558158,0.01861723264058431,0.010844655721865777,0.01,2,20,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 20}",0.9229349330872173,0.9168975069252078,0.9030470914127424,0.9142931771417224,0.008325401365023643,53,0.9157433056325023,0.9116085852757905,0.9185321947842142,0.9152946952308355,0.0028442961197979533
151,0.06979600588480632,0.01698429183932944,0.009971062342325846,0.0014121470293873687,0.01,2,10,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 10}",0.9201661282879557,0.9168975069252078,0.9030470914127424,0.9133702422086353,0.007420536960324418,54,0.909972299168975,0.9116085852757905,0.9185321947842142,0.91337102640966,0.0037101304827650795
107,0.18317643801371256,0.0350462779884675,0.013964176177978516,0.0014105709979752225,0.001,2,100,"{'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 100}",0.9201661282879557,0.9168975069252078,0.9030470914127424,0.9133702422086353,0.007420536960324418,54,0.909972299168975,0.9116085852757905,0.9185321947842142,0.91337102640966,0.0037101304827650795
106,0.1442861557006836,0.029595379045177624,0.01096487045288086,0.0008096341335825888,0.001,2,70,"{'learning_rate': 0.001, 'max_depth': 2, 'n_estimators': 70}",0.9201661282879557,0.9168975069252078,0.9030470914127424,0.9133702422086353,0.007420536960324418,54,0.909972299168975,0.9116085852757905,0.9185321947842142,0.91337102640966,0.0037101304827650795
148,0.0987386703491211,0.012158914457038688,0.017613967259724934,0.008712456819370183,0.01,1,70,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 70}",0.8532533456391325,0.8564173591874423,0.8984302862419206,0.8693669970228318,0.02059140323221924,57,0.8550323176361958,0.8534502654050311,0.906992845603508,0.8718251428815783,0.024875707137272836
150,0.03955793380737305,0.002478837343947042,0.01030270258585612,0.0032922322093937085,0.01,2,5,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 5}",0.8504845408398708,0.8481071098799631,0.8388734995383195,0.8458217167527179,0.00500808255630354,58,0.8434903047091413,0.8446803600276944,0.8492960996999769,0.8458222548122709,0.002503964409116736
147,0.07413466771443684,0.008476163415385504,0.008975664774576822,0.0008139070986999213,0.01,1,40,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 40}",0.8532533456391325,0.8227146814404432,0.8180978762696214,0.8313553011163991,0.015598546683073687,59,0.8550323176361958,0.815831987075929,0.8181398569120701,0.8296680538747316,0.017959973513640193
146,0.06536436080932617,0.005302486970384376,0.01064451535542806,0.0009353015572075914,0.01,1,20,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 20}",0.7918781725888325,0.7894736842105263,0.7876269621421976,0.7896596063138522,0.0017405215380786024,60,0.788550323176362,0.7897530579275329,0.7906762058619894,0.7896598623219614,0.0008703862605900829
