,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_kernel,param_optimizer,param_units,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
53,11.116841793060303,0.09206588812764441,0.23152987162272134,0.005558840493429554,10,50,random_uniform,SGD,13,"{'batch_size': 10, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 13}",0.6336805555555556,0.6753472222222222,0.5243055555555556,0.611111111111111,0.06369422336056993,35,0.6909722222222222,0.765625,0.8298611111111112,0.7621527777777778,0.05675428388863643
19,28.76486126581828,2.562891873549355,0.4418807824452718,0.08237920950408484,5,50,random_uniform,adam,8,"{'batch_size': 5, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 8}",0.6336805555555556,0.6684027777777778,0.5243055555555556,0.6087962962962964,0.06140261738287517,36,0.6927083333333334,0.7578125,0.8342013888888888,0.7615740740740741,0.057825503440655755
13,16.79049340883891,4.403233796044688,0.6472709973653158,0.21890308026245808,5,20,random_uniform,rmsprop,8,"{'batch_size': 5, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 8}",0.6371527777777778,0.6527777777777778,0.5260416666666666,0.6053240740740741,0.05642286917840791,37,0.6527777777777778,0.6909722222222222,0.8133680555555556,0.7190393518518517,0.06849881825462774
38,4.966214179992676,0.061890526387716825,0.22078442573547363,0.030707058888968373,10,20,random_uniform,adam,13,"{'batch_size': 10, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 13}",0.6267361111111112,0.6510416666666666,0.5295138888888888,0.6024305555555555,0.05250600102876741,38,0.6519097222222222,0.6909722222222222,0.8133680555555556,0.71875,0.06877936732479274
21,22.350932836532593,2.3753852610087205,0.45247801144917804,0.1026142440549208,5,50,random_uniform,rmsprop,4,"{'batch_size': 5, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 4}",0.5972222222222222,0.6527777777777778,0.53125,0.59375,0.04967422160619198,39,0.6276041666666666,0.6866319444444444,0.8272569444444444,0.7138310185185185,0.08374624425991056
50,11.321345567703247,0.07588138109601217,0.23033293088277182,0.006360773712824647,10,50,random_uniform,rmsprop,13,"{'batch_size': 10, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 13}",0.5763888888888888,0.6753472222222222,0.5243055555555556,0.592013888888889,0.06264450886343303,40,0.6892361111111112,0.7447916666666666,0.8350694444444444,0.7563657407407408,0.06009608789697761
18,26.46454389890035,1.8495654516184241,0.36452515920003253,0.05541287601502503,5,50,random_uniform,adam,4,"{'batch_size': 5, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'adam', 'units': 4}",0.5920138888888888,0.6527777777777778,0.5225694444444444,0.5891203703703703,0.05319669071426575,41,0.6267361111111112,0.6909722222222222,0.8211805555555556,0.7129629629629631,0.08089027548711492
49,11.882331291834513,0.6607530777198628,0.2499865690867106,0.02499182862947671,10,50,random_uniform,rmsprop,8,"{'batch_size': 10, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 8}",0.5850694444444444,0.6614583333333334,0.5190972222222222,0.5885416666666666,0.05817051793115309,42,0.6692708333333334,0.7230902777777778,0.8246527777777778,0.7390046296296297,0.06442482498220961
51,11.229567209879557,0.34180344867187484,0.24175477027893066,0.014957463619395562,10,50,random_uniform,SGD,4,"{'batch_size': 10, 'epochs': 50, 'kernel': 'random_uniform', 'optimizer': 'SGD', 'units': 4}",0.5694444444444444,0.6545138888888888,0.5399305555555556,0.5879629629629629,0.04857665224868819,43,0.6840277777777778,0.6918402777777778,0.8116319444444444,0.7291666666666666,0.05839891733178526
14,22.164316018422443,1.761453384375447,0.7395260334014893,0.06890983322053912,5,20,random_uniform,rmsprop,13,"{'batch_size': 5, 'epochs': 20, 'kernel': 'random_uniform', 'optimizer': 'rmsprop', 'units': 13}",0.5503472222222222,0.6545138888888888,0.5572916666666666,0.5873842592592592,0.04755240413003271,44,0.6822916666666666,0.6901041666666666,0.8142361111111112,0.7288773148148149,0.06044199350301059
