,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_kernel,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
262,3.140039046605428,0.16875014524940474,0.22454102834065756,0.023305948960580556,150,50,0.001,0.1,"{'batch_size': 150, 'epochs': 50, 'kernel': 0.001, 'learning_rate': 0.1}",0.819327731092437,0.7552742616033755,0.7848101265822784,0.7864707064260305,0.026176069000261,21,0.8459915611814346,0.7936842105263158,0.7747368421052632,0.8048042046043378,0.03013358534788563
106,3.216791868209839,0.49538957933410355,0.3497016429901123,0.06905739102582419,100,20,0.01,0.1,"{'batch_size': 100, 'epochs': 20, 'kernel': 0.01, 'learning_rate': 0.1}",0.7941176470588235,0.7805907172995781,0.7805907172995781,0.7850996938859932,0.006376655840931028,22,0.810126582278481,0.7978947368421052,0.7726315789473684,0.7935509660226515,0.015612389896040649
230,2.7088151772816977,0.03532711519466058,0.27227139472961426,0.041070240571197604,150,30,0.001,0.1,"{'batch_size': 150, 'epochs': 30, 'kernel': 0.001, 'learning_rate': 0.1}",0.7941176470588235,0.7552742616033755,0.8016877637130801,0.7836932241250931,0.02033149838137617,23,0.8291139240506329,0.8231578947368421,0.8105263157894737,0.8209327115256495,0.0077497688335463125
134,3.173781951268514,0.26563898382230905,0.37643202145894367,0.08219362184391855,100,30,0.001,0.1,"{'batch_size': 100, 'epochs': 30, 'kernel': 0.001, 'learning_rate': 0.1}",0.7941176470588235,0.7510548523206751,0.7890295358649789,0.7780673450814924,0.019213333785770403,24,0.8481012658227848,0.7768421052631579,0.7957894736842105,0.8069109482567177,0.03013560893047586
234,2.536383787790934,0.07098843539385867,0.2844983736673991,0.0409849998239648,150,30,0.01,0.1,"{'batch_size': 150, 'epochs': 30, 'kernel': 0.01, 'learning_rate': 0.1}",0.7941176470588235,0.7552742616033755,0.7721518987341772,0.7738479357987921,0.01590303020818228,25,0.7974683544303798,0.7936842105263158,0.783157894736842,0.791436819897846,0.006054496270695178
74,3.492647647857666,0.04523474645100748,0.29570380846659344,0.033790271247654,50,50,0.01,0.1,"{'batch_size': 50, 'epochs': 50, 'kernel': 0.01, 'learning_rate': 0.1}",0.7941176470588235,0.7974683544303798,0.7257383966244726,0.772441466037892,0.033052375905003165,26,0.7974683544303798,0.8189473684210526,0.728421052631579,0.7816122584943371,0.03862050661115689
36,1.8390673796335857,0.021126551727526297,0.18517160415649414,0.010311354512862319,50,30,0.001,0.001,"{'batch_size': 50, 'epochs': 30, 'kernel': 0.001, 'learning_rate': 0.001}",0.7605042016806722,0.7763713080168776,0.7679324894514767,0.7682693330496755,0.006482096552728791,27,0.7742616033755274,0.791578947368421,0.7621052631578947,0.775981937967281,0.012093915234975128
164,3.875876029332479,0.4754919710324071,0.2687671979268392,0.043275209817543944,100,50,0.001,0.001,"{'batch_size': 100, 'epochs': 50, 'kernel': 0.001, 'learning_rate': 0.001}",0.7605042016806722,0.7932489451476793,0.7468354430379747,0.7668628632887754,0.01947438878127994,28,0.7721518987341772,0.8,0.76,0.7773839662447258,0.01674377292858858
160,3.107257525126139,0.05719976399729499,0.26459598541259766,0.027195676529330016,100,50,0.0001,0.001,"{'batch_size': 100, 'epochs': 50, 'kernel': 0.0001, 'learning_rate': 0.001}",0.7563025210084033,0.7805907172995781,0.759493670886076,0.7654623030646858,0.010776441816366875,29,0.7763713080168776,0.7957894736842105,0.7663157894736842,0.7794921903915908,0.01223327280638215
198,2.5230461756388345,0.27415084249025373,0.25237687428792316,0.012408371427689614,150,20,0.001,0.1,"{'batch_size': 150, 'epochs': 20, 'kernel': 0.001, 'learning_rate': 0.1}",0.7815126050420168,0.7257383966244726,0.7848101265822784,0.7640203760829225,0.02710290114262081,30,0.7890295358649789,0.7768421052631579,0.8189473684210526,0.7949396698497297,0.01769012076814199
